codigo,ano,situacao,periodo,genero
FISI0274,2020,APROVADO,1,feminino
FISI0327,2020,APROVADO,1,feminino
MAT0150,2020,REPROVADO,1,feminino
MAT0151,2020,REPROVADO,1,feminino
QUI0064,2020,APROVADO,1,feminino
FISI0274,2020,EXCLUIDA,1,masculino
FISI0327,2020,EXCLUIDA,1,masculino
MAT0150,2020,EXCLUIDA,1,masculino
MAT0151,2020,EXCLUIDA,1,masculino
FISI0274,2020,TRANCADO,1,feminino
FISI0274,2020,TRANCADO,1,feminino
FISI0327,2020,TRANCADO,1,feminino
FISI0274,2020,REPROVADO,1,masculino
QUI0064,2020,EXCLUIDA,1,masculino
FISI0327,2020,TRANCADO,1,feminino
FISI0274,2020,APROVADO,1,feminino
FISI0274,2020,APROVADO,1,feminino
FISI0274,2020,APROVADO,1,feminino
FISI0327,2020,REPROVADO,1,masculino
MAT0150,2020,TRANCADO,1,feminino
FISI0274,2020,APROVADO,1,feminino
FISI0327,2020,APROVADO,1,feminino
FISI0327,2020,APROVADO,1,feminino
FISI0327,2020,APROVADO,1,feminino
FISI0274,2020,APROVADO,1,feminino
FISI0327,2020,APROVADO,1,feminino
MAT0150,2020,TRANCADO,1,feminino
MAT0150,2020,TRANCADO,1,masculino
MAT0151,2020,TRANCADO,1,feminino
MAT0150,2020,APROVADO,1,feminino
MAT0150,2020,APROVADO,1,feminino
FISI0327,2020,APROVADO,1,feminino
MAT0150,2020,REPROVADO,1,feminino
QUI0064,2020,TRANCADO,1,feminino
MAT0150,2020,APROVADO,1,feminino
MAT0151,2020,REPROVADO,1,masculino
MAT0151,2020,APROVADO,1,feminino
MAT0151,2020,TRANCADO,1,feminino
MAT0151,2020,APROVADO,1,feminino
MAT0151,2020,REPROVADO,1,feminino
MAT0150,2020,APROVADO,1,feminino
QUI0064,2020,REPROVADO,1,masculino
MAT0151,2020,APROVADO,1,feminino
QUI0064,2020,APROVADO,1,feminino
QUI0064,2020,TRANCADO,1,feminino
QUI0064,2020,APROVADO,1,feminino
QUI0064,2020,APROVADO,1,feminino
MAT0151,2020,APROVADO,1,feminino
QUI0064,2020,APROVADO,1,feminino
QUI0064,2020,APROVADO,1,feminino
FISI0274,2020,REPROVADO,1,masculino
FISI0327,2020,REPROVADO,1,masculino
MAT0150,2020,REPROVADO,1,masculino
FISI0274,2020,APROVADO,1,masculino
MAT0151,2020,REPROVADO,1,masculino
QUI0064,2020,REPROVADO,1,masculino
FISI0327,2020,REPROVADO,1,masculino
MAT0150,2020,APROVADO,1,masculino
MAT0151,2020,REPROVADO,1,masculino
QUI0064,2020,APROVADO,1,masculino
FISI0274,2020,APROVADO,1,masculino
FISI0327,2020,APROVADO,1,masculino
MAT0150,2020,APROVADO,1,masculino
MAT0151,2020,APROVADO,1,masculino
QUI0064,2020,APROVADO,1,masculino
FISI0274,2020,EXCLUIDA,1,masculino
FISI0274,2020,REPROVADO,1,masculino
FISI0274,2020,DESISTENCIA,1,masculino
FISI0327,2020,EXCLUIDA,1,masculino
FISI0274,2020,EXCLUIDA,1,masculino
FISI0327,2020,REPROVADO,1,masculino
FISI0327,2020,DESISTENCIA,1,masculino
FISI0327,2020,EXCLUIDA,1,masculino
FISI0274,2020,APROVADO,1,masculino
MAT0150,2020,EXCLUIDA,1,masculino
MAT0150,2020,DESISTENCIA,1,masculino
MAT0150,2020,REPROVADO,1,masculino
FISI0274,2020,APROVADO,1,feminino
MAT0150,2020,EXCLUIDA,1,masculino
MAT0151,2020,EXCLUIDA,1,masculino
MAT0151,2020,DESISTENCIA,1,masculino
MAT0151,2020,EXCLUIDA,1,masculino
MAT0151,2020,EXCLUIDA,1,masculino
QUI0064,2020,EXCLUIDA,1,masculino
QUI0064,2020,DESISTENCIA,1,masculino
FISI0327,2020,APROVADO,1,masculino
QUI0064,2020,EXCLUIDA,1,masculino
QUI0064,2020,EXCLUIDA,1,masculino
FISI0274,2020,APROVADO,1,masculino
FISI0327,2020,APROVADO,1,feminino
MAT0150,2020,REPROVADO,1,masculino
MAT0150,2020,APROVADO,1,feminino
MAT0151,2020,APROVADO,1,masculino
FISI0327,2020,APROVADO,1,masculino
QUI0064,2020,APROVADO,1,masculino
MAT0150,2020,APROVADO,1,masculino
MAT0151,2020,APROVADO,1,feminino
MAT0151,2020,APROVADO,1,masculino
QUI0064,2020,APROVADO,1,feminino
QUI0064,2020,APROVADO,1,masculino
FISI0274,2020,EXCLUIDA,1,feminino
FISI0327,2020,EXCLUIDA,1,feminino
MAT0150,2020,EXCLUIDA,1,feminino
MAT0151,2020,EXCLUIDA,1,feminino
QUI0064,2020,EXCLUIDA,1,feminino
FISI0149,2020,DISPENSADO,1,masculino
FISI0150,2020,DISPENSADO,1,masculino
MAT0078,2020,DISPENSADO,1,masculino
MAT0096,2020,DISPENSADO,1,masculino
ESTAT0011,2020,DISPENSADO,1,masculino
QUI0064,2020,DISPENSADO,1,masculino
MAT0067,2020,DISPENSADO,1,masculino
MAT0064,2020,DISPENSADO,1,masculino
COMP0100,2020,DISPENSADO,1,masculino
MAT0065,2020,DISPENSADO,1,masculino
QUI0066,2020,DISPENSADO,1,masculino
FISI0152,2020,DISPENSADO,1,masculino
ESTAT0011,2020,DISPENSADO,1,masculino
FISI0149,2020,DISPENSADO,1,masculino
MAT0078,2020,DISPENSADO,1,masculino
FISI0262,2020,DISPENSADO,1,masculino
FISI0274,2020,APROVADO,1,masculino
FISI0327,2020,APROVADO,1,masculino
MAT0150,2020,APROVADO,1,masculino
FISI0274,2020,DESISTENCIA,1,feminino
MAT0151,2020,APROVADO,1,masculino
FISI0327,2020,DESISTENCIA,1,feminino
QUI0064,2020,APROVADO,1,masculino
MAT0150,2020,DESISTENCIA,1,feminino
FISI0274,2020,REPROVADO,1,masculino
MAT0151,2020,DESISTENCIA,1,feminino
FISI0327,2020,REPROVADO,1,masculino
QUI0064,2020,DESISTENCIA,1,feminino
MAT0150,2020,REPROVADO,1,masculino
FISI0274,2020,APROVADO,1,masculino
MAT0151,2020,REPROVADO,1,masculino
FISI0327,2020,APROVADO,1,masculino
QUI0064,2020,REPROVADO,1,masculino
FISI0274,2020,DISPENSADO,1,masculino
MAT0150,2020,DISPENSADO,1,masculino
MAT0151,2020,DISPENSADO,1,masculino
FISI0328,2020,DISPENSADO,1,masculino
FISI0289,2020,DISPENSADO,1,masculino
FISI0327,2020,DISPENSADO,1,masculino
QUI0064,2020,DISPENSADO,1,masculino
MAT0152,2020,DISPENSADO,1,masculino
FISI0260,2020,DISPENSADO,1,masculino
COMP0334,2020,DISPENSADO,1,masculino
FISI0264,2020,DISPENSADO,1,masculino
MAT0153,2020,DISPENSADO,1,masculino
MAT0155,2020,DISPENSADO,1,masculino
FISI0262,2020,DISPENSADO,1,masculino
MAT0096,2020,DISPENSADO,1,masculino
FISI0290,2020,DISPENSADO,1,masculino
QUI0064,2020,DISPENSADO,1,masculino
MAT0067,2020,DISPENSADO,1,masculino
COMP0197,2020,DISPENSADO,1,masculino
MAT0064,2020,DISPENSADO,1,masculino
FISI0152,2020,DISPENSADO,1,masculino
ESTAT0011,2020,DISPENSADO,1,masculino
FISI0260,2020,DISPENSADO,1,masculino
LETRL0034,2020,DISPENSADO,1,masculino
FISI0274,2020,DISPENSADO,1,masculino
FISI0274,2020,DISPENSADO,1,masculino
MAT0150,2020,DISPENSADO,1,masculino
COMP0334,2020,DISPENSADO,1,masculino
QUI0064,2020,DISPENSADO,1,masculino
MAT0096,2020,DISPENSADO,1,masculino
FISI0289,2020,DISPENSADO,1,masculino
MAT0151,2020,DISPENSADO,1,masculino
FISI0327,2020,DISPENSADO,1,masculino
FISI0264,2020,DISPENSADO,1,masculino
MAT0152,2020,DISPENSADO,1,masculino
FISI0260,2020,DISPENSADO,1,masculino
MAT0155,2020,DISPENSADO,1,masculino
FISI0302,2020,DISPENSADO,1,masculino
FISI0328,2020,DISPENSADO,1,masculino
FISI0274,2020,REPROVADO,1,feminino
FISI0274,2020,APROVADO,1,masculino
FISI0274,2020,APROVADO,1,masculino
FISI0274,2020,REPROVADO,1,masculino
FISI0274,2020,APROVADO,1,masculino
FISI0274,2020,CANCELADO,1,feminino
FISI0274,2020,APROVADO,1,feminino
FISI0274,2020,APROVADO,1,feminino
FISI0327,2020,APROVADO,1,masculino
FISI0327,2020,REPROVADO,1,masculino
FISI0327,2020,CANCELADO,1,feminino
FISI0327,2020,APROVADO,1,feminino
FISI0327,2020,REPROVADO,1,feminino
FISI0327,2020,APROVADO,1,feminino
FISI0327,2020,REPROVADO,1,masculino
FISI0327,2020,APROVADO,1,masculino
FISI0274,2020,APROVADO,1,masculino
MAT0150,2020,EXCLUIDA,1,masculino
MAT0150,2020,REPROVADO,1,feminino
MAT0150,2020,APROVADO,1,masculino
MAT0150,2020,APROVADO,1,feminino
MAT0150,2020,REPROVADO,1,masculino
MAT0150,2020,APROVADO,1,masculino
MAT0150,2020,APROVADO,1,feminino
MAT0150,2020,CANCELADO,1,feminino
FISI0327,2020,APROVADO,1,masculino
MAT0151,2020,APROVADO,1,masculino
MAT0151,2020,APROVADO,1,feminino
MAT0151,2020,APROVADO,1,masculino
MAT0151,2020,CANCELADO,1,feminino
MAT0151,2020,EXCLUIDA,1,masculino
MAT0151,2020,APROVADO,1,feminino
MAT0151,2020,REPROVADO,1,masculino
MAT0151,2020,REPROVADO,1,feminino
MAT0150,2020,APROVADO,1,masculino
MAT0151,2020,APROVADO,1,masculino
QUI0064,2020,REPROVADO,1,feminino
QUI0064,2020,APROVADO,1,feminino
QUI0064,2020,APROVADO,1,masculino
QUI0064,2020,APROVADO,1,masculino
QUI0064,2020,APROVADO,1,masculino
QUI0064,2020,APROVADO,1,masculino
QUI0064,2020,CANCELADO,1,feminino
QUI0064,2020,APROVADO,1,masculino
QUI0064,2020,APROVADO,1,feminino
FISI0274,2020,REPROVADO,1,masculino
FISI0327,2020,REPROVADO,1,masculino
MAT0150,2020,REPROVADO,1,masculino
MAT0151,2020,REPROVADO,1,masculino
QUI0064,2020,REPROVADO,1,masculino
FISOL0012,2020,REPROVADO,1,feminino
MAT0150,2020,INDEFERIDO,1,feminino
QUI0064,2020,INDEFERIDO,1,feminino
FISI0340,2020,REPROVADO,1,feminino
FISI0274,2020,INDEFERIDO,1,feminino
MAT0096,2020,APROVADO,1,masculino
MAT0078,2020,INDEFERIDO,1,masculino
ESTAT0011,2020,APROVADO,1,feminino
ESTAT0011,2020,APROVADO,1,feminino
FISI0340,2020,DESISTENCIA,1,masculino
FISI0294,2020,TRANCADO,1,masculino
FISI0261,2020,APROVADO,1,masculino
MAT0153,2020,TRANCADO,1,masculino
FISI0262,2020,INDEFERIDO,1,masculino
FISI0329,2020,APROVADO,1,masculino
MAT0096,2020,REPROVADO,1,masculino
FISI0340,2020,REPROVADO,1,masculino
QUI0064,2020,REPROVADO,1,masculino
FISI0327,2020,INDEFERIDO,1,feminino
MAT0150,2020,INDEFERIDO,1,feminino
FISI0274,2020,INDEFERIDO,1,feminino
COMP0334,2020,INDEFERIDO,1,feminino
COMP0334,2020,INDEFERIDO,1,masculino
QUI0064,2020,INDEFERIDO,1,masculino
FISI0260,2020,REPROVADO,1,masculino
MAT0152,2020,INDEFERIDO,1,masculino
