codigo,ano,situacao,periodo,genero
FISI0274,2022,DISPENSADO,1,masculino
MAT0150,2022,DISPENSADO,1,masculino
MAT0151,2022,DISPENSADO,1,masculino
QUI0064,2022,DISPENSADO,1,masculino
FISI0328,2022,DISPENSADO,1,masculino
MAT0152,2022,DISPENSADO,1,masculino
FISI0260,2022,DISPENSADO,1,masculino
COMP0334,2022,DISPENSADO,1,masculino
FISI0329,2022,DISPENSADO,1,masculino
MAT0153,2022,DISPENSADO,1,masculino
FISI0261,2022,DISPENSADO,1,masculino
MAT0154,2022,DISPENSADO,1,masculino
FISI0262,2022,DISPENSADO,1,masculino
FISI0289,2022,DISPENSADO,1,masculino
MAT0151,2022,APROVADO,1,feminino
MAT0150,2022,APROVADO,1,feminino
QUI0064,2022,APROVADO,1,feminino
FISI0274,2022,APROVADO,1,feminino
FISI0327,2022,APROVADO,1,feminino
MAT0151,2022,APROVADO,1,feminino
MAT0150,2022,APROVADO,1,feminino
MAT0151,2022,APROVADO,1,feminino
MAT0150,2022,APROVADO,1,feminino
QUI0064,2022,APROVADO,1,feminino
QUI0064,2022,APROVADO,1,feminino
MAT0151,2022,APROVADO,1,feminino
FISI0274,2022,APROVADO,1,feminino
FISI0274,2022,APROVADO,1,feminino
MAT0151,2022,APROVADO,1,masculino
MAT0151,2022,APROVADO,1,masculino
MAT0151,2022,APROVADO,1,masculino
FISI0327,2022,APROVADO,1,feminino
MAT0150,2022,APROVADO,1,feminino
MAT0151,2022,APROVADO,1,feminino
FISI0327,2022,APROVADO,1,feminino
MAT0151,2022,TRANCADO,1,feminino
MAT0151,2022,CANCELADO,1,masculino
MAT0150,2022,APROVADO,1,masculino
MAT0150,2022,APROVADO,1,masculino
MAT0150,2022,APROVADO,1,masculino
MAT0150,2022,APROVADO,1,feminino
QUI0064,2022,REPROVADO,1,feminino
MAT0150,2022,CANCELADO,1,masculino
QUI0064,2022,APROVADO,1,masculino
MAT0150,2022,TRANCADO,1,feminino
QUI0064,2022,APROVADO,1,masculino
QUI0064,2022,APROVADO,1,masculino
QUI0064,2022,APROVADO,1,feminino
FISI0274,2022,APROVADO,1,feminino
